Site,Population,Species,Hybrid,Sample,Sequen_ID,Unique_ID,Extrac_event,Sample_Date,Subsampled,Subsampling_Qotes,Lyophilized,DNA_extr,Extr_date,DNA_conc._ng/µl,Extr_Box,Extraction_Method,Extr_notes,PCR1,PCR2,,sample_control
HDRB,HDRB,G,,8,HDRB_G008,HDRB_G008,1,5/12/2022,yes,,1,1,12/19/2022,7,2,OLD,,1,1,,sample
HDRB,HDRB,G,,8,HDRB_G008,HDRB_G008,1,5/12/2022,yes,,1,1,12/19/2022,7,2,OLD,,1,1,,sample
HDRB,HDRB,G,,8,HDRB_G008,HDRB_G008,1,5/12/2022,yes,,1,1,12/19/2022,7,2,OLD,,1,1,,sample
HDRB,HDRB,G,,9,HDRB_G009,HDRB_G009,1,5/12/2022,yes,,1,1,12/19/2022,16.7,2,OLD,,1,1,,sample
HDRB,HDRB,G,,9,HDRB_G009,HDRB_G009,1,5/12/2022,yes,,1,1,12/19/2022,16.7,2,OLD,,1,1,,sample
HDRB,HDRB,G,,9,HDRB_G009,HDRB_G009,1,5/12/2022,yes,,1,1,12/19/2022,16.7,2,OLD,,1,1,,sample
HHBB,HHBB,G,,1,HHBB_G001,HHBB_G001,1,4/20/2022,yes,,1,1,1/12/2023,17.4,2,OLD,,1,1,,sample
HHBB,HHBB,G,,1,HHBB_G001,HHBB_G001,1,4/20/2022,yes,,1,1,1/12/2023,17.4,2,OLD,,1,1,,sample
HHBB,HHBB,G,,1,HHBB_G001,HHBB_G001,1,4/20/2022,yes,,1,1,1/12/2023,17.4,2,OLD,,1,1,,sample
HHBB,HHBB,G,,10,HHBB_G010,HHBB_G010,1,4/20/2022,yes,,1,1,9/30/2022,13.6,1,OLD,,1,1,,sample
HHBB,HHBB,G,,10,HHBB_G010,HHBB_G010,1,4/20/2022,yes,,1,1,9/30/2022,13.6,1,OLD,,1,1,,sample
HHBB,HHBB,G,,10,HHBB_G010,HHBB_G010,1,4/20/2022,yes,,1,1,9/30/2022,13.6,1,OLD,,1,1,,sample
HHBB,HHBB,G,,2,HHBB_G002,HHBB_G002,1,4/20/2022,yes,,1,1,9/30/2022,10.7,1,OLD,,1,1,,sample
HHBB,HHBB,G,,2,HHBB_G002,HHBB_G002,1,4/20/2022,yes,,1,1,9/30/2022,10.7,1,OLD,,1,1,,sample
HHBB,HHBB,G,,2,HHBB_G002,HHBB_G002,1,4/20/2022,yes,,1,1,9/30/2022,10.7,1,OLD,,1,1,,sample
HHBB,HHBB,G,,3,HHBB_G003,HHBB_G003,1,4/20/2022,yes,,1,1,5/7/2023,20.3,3,NEW,,0,0,,sample
HHBB,HHBB,G,,3,HHBB_G003,HHBB_G003,1,4/20/2022,yes,,1,1,5/7/2023,20.3,3,NEW,,0,0,,sample
HHBB,HHBB,G,,3,HHBB_G003,HHBB_G003,1,4/20/2022,yes,,1,1,5/7/2023,20.3,3,NEW,,0,0,,sample
HHBB,HHBB,G,,4,HHBB_G004,HHBB_G004,1,4/20/2022,yes,,1,1,3/14/2023,7.87,1,OLD,,1,1,,sample
HHBB,HHBB,G,,4,HHBB_G004,HHBB_G004,1,4/20/2022,yes,,1,1,3/14/2023,7.87,1,OLD,,1,1,,sample
HHBB,HHBB,G,,4,HHBB_G004,HHBB_G004,1,4/20/2022,yes,,1,1,3/14/2023,7.87,1,OLD,,1,1,,sample
HHBB,HHBB,G,,5,HHBB_G005,HHBB_G005,1,4/20/2022,yes,not enough tissue (.28g),1,1,1/12/2023,1.8,2,OLD,,1,1,,sample
HHBB,HHBB,G,,5,HHBB_G005,HHBB_G005,1,4/20/2022,yes,not enough tissue (.28g),1,1,1/12/2023,1.8,2,OLD,,1,1,,sample
HHBB,HHBB,G,,5,HHBB_G005,HHBB_G005,1,4/20/2022,yes,not enough tissue (.28g),1,1,1/12/2023,1.8,2,OLD,,1,1,,sample
HHBB,HHBB,G,,6,HHBB_G006,HHBB_G006,1,4/20/2022,yes,,1,1,5/12/2023,11.6,3,NEW,,0,0,,sample
HHBB,HHBB,G,,6,HHBB_G006,HHBB_G006,1,4/20/2022,yes,,1,1,5/12/2023,11.6,3,NEW,,0,0,,sample
HHBB,HHBB,G,,6,HHBB_G006,HHBB_G006,1,4/20/2022,yes,,1,1,5/12/2023,11.6,3,NEW,,0,0,,sample
HHBB,HHBB,G,,7,HHBB_G007,HHBB_G007,1,4/20/2022,yes,not enough tissue (.21g),1,1,5/10/2023,17.7,3,NEW,,0,0,,sample
HHBB,HHBB,G,,7,HHBB_G007,HHBB_G007,1,4/20/2022,yes,not enough tissue (.21g),1,1,5/10/2023,17.7,3,NEW,,0,0,,sample
HHBB,HHBB,G,,7,HHBB_G007,HHBB_G007,1,4/20/2022,yes,not enough tissue (.21g),1,1,5/10/2023,17.7,3,NEW,,0,0,,sample
HHBB,HHBB,G,,8,HHBB_G008,HHBB_G008,1,4/20/2022,yes,,1,1,5/10/2023,16.9,3,NEW,,0,0,,sample
HHBB,HHBB,G,,8,HHBB_G008,HHBB_G008,1,4/20/2022,yes,,1,1,5/10/2023,16.9,3,NEW,,0,0,,sample
HHBB,HHBB,G,,8,HHBB_G008,HHBB_G008,1,4/20/2022,yes,,1,1,5/10/2023,16.9,3,NEW,,0,0,,sample
HHBB,HHBB,G,,9,HHBB_G009,HHBB_G009,1,4/20/2022,yes,not enough tissue (.20g),1,1,3/14/2023,2.09,3,OLD,,1,1,,sample
HHBB,HHBB,G,,9,HHBB_G009,HHBB_G009,1,4/20/2022,yes,not enough tissue (.20g),1,1,3/14/2023,2.09,3,OLD,,1,1,,sample
HHBB,HHBB,G,,9,HHBB_G009,HHBB_G009,1,4/20/2022,yes,not enough tissue (.20g),1,1,3/14/2023,2.09,3,OLD,,1,1,,sample
HHBB,HHBB,L,,1,HHBB_L001,HHBB_L001,1,4/20/2022,yes,,1,1,5/12/2023,12.2,3,NEW,,0,0,,sample
HHBB,HHBB,L,,1,HHBB_L001,HHBB_L001,1,4/20/2022,yes,,1,1,5/12/2023,12.2,3,NEW,,0,0,,sample
HHBB,HHBB,L,,1,HHBB_L001,HHBB_L001,1,4/20/2022,yes,,1,1,5/12/2023,12.2,3,NEW,,0,0,,sample
HHBB,HHBB,L,,10,HHBB_L010,HHBB_L010,1,4/20/2022,yes,,1,1,10/8/2022,0.283,,OLD,,1,1,,sample
HHBB,HHBB,L,,10,HHBB_L010,HHBB_L010,1,4/20/2022,yes,,1,1,10/8/2022,0.283,,OLD,,1,1,,sample
HHBB,HHBB,L,,10,HHBB_L010,HHBB_L010,1,4/20/2022,yes,,1,1,10/8/2022,0.283,,OLD,,1,1,,sample
HHBB,HHBB,L,,2,HHBB_L002,HHBB_L002,1,4/20/2022,yes,not enough tissue (.05g),1,1,1/19/2023,1.67,2,OLD,,1,1,,sample
HHBB,HHBB,L,,2,HHBB_L002,HHBB_L002,1,4/20/2022,yes,not enough tissue (.05g),1,1,1/19/2023,1.67,2,OLD,,1,1,,sample
HHBB,HHBB,L,,2,HHBB_L002,HHBB_L002,1,4/20/2022,yes,not enough tissue (.05g),1,1,1/19/2023,1.67,2,OLD,,1,1,,sample
HHBB,HHBB,L,,3,HHBB_L003,HHBB_L003,1,4/20/2022,yes,not enough tissue (.10g),1,1,3/14/2023,4.71,3,OLD,,1,1,,sample
HHBB,HHBB,L,,3,HHBB_L003,HHBB_L003,1,4/20/2022,yes,not enough tissue (.10g),1,1,3/14/2023,4.71,3,OLD,,1,1,,sample
HHBB,HHBB,L,,3,HHBB_L003,HHBB_L003,1,4/20/2022,yes,not enough tissue (.10g),1,1,3/14/2023,4.71,3,OLD,,1,1,,sample
HHBB,HHBB,L,,4,HHBB_L004,HHBB_L004,1,4/20/2022,yes,not enough tissue (.26g),1,1,5/12/2023,14.3,3,NEW,,0,0,,sample
HHBB,HHBB,L,,4,HHBB_L004,HHBB_L004,1,4/20/2022,yes,not enough tissue (.26g),1,1,5/12/2023,14.3,3,NEW,,0,0,,sample
HHBB,HHBB,L,,4,HHBB_L004,HHBB_L004,1,4/20/2022,yes,not enough tissue (.26g),1,1,5/12/2023,14.3,3,NEW,,0,0,,sample
HHBB,HHBB,L,,5,HHBB_L005,HHBB_L005,1,4/20/2022,yes,not enough tissue (.17g),1,1,5/12/2023,17.3,3,NEW,,0,0,,sample
HHBB,HHBB,L,,5,HHBB_L005,HHBB_L005,1,4/20/2022,yes,not enough tissue (.17g),1,1,5/12/2023,17.3,3,NEW,,0,0,,sample
HHBB,HHBB,L,,5,HHBB_L005,HHBB_L005,1,4/20/2022,yes,not enough tissue (.17g),1,1,5/12/2023,17.3,3,NEW,,0,0,,sample
HHBB,HHBB,L,,6,HHBB_L006,HHBB_L006,1,4/20/2022,yes,,1,1,5/15/2023,15.2,4,NEW,,0,0,,sample
HHBB,HHBB,L,,6,HHBB_L006,HHBB_L006,1,4/20/2022,yes,,1,1,5/15/2023,15.2,4,NEW,,0,0,,sample
HHBB,HHBB,L,,6,HHBB_L006,HHBB_L006,1,4/20/2022,yes,,1,1,5/15/2023,15.2,4,NEW,,0,0,,sample
HHBB,HHBB,L,,7,HHBB_L007,HHBB_L007,1,4/20/2022,yes,,1,1,5/15/2023,14.6,4,NEW,,0,0,,sample
HHBB,HHBB,L,,7,HHBB_L007,HHBB_L007,1,4/20/2022,yes,,1,1,5/15/2023,14.6,4,NEW,,0,0,,sample
HHBB,HHBB,L,,7,HHBB_L007,HHBB_L007,1,4/20/2022,yes,,1,1,5/15/2023,14.6,4,NEW,,0,0,,sample
HHBB,HHBB,L,,8,HHBB_L008,HHBB_L008,1,4/20/2022,yes,,1,1,8/26/2022,0.213,1,OLD,Re-Tissuelyser; *Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
HHBB,HHBB,L,,8,HHBB_L008,HHBB_L008,1,4/20/2022,yes,,1,1,8/26/2022,0.213,1,OLD,Re-Tissuelyser; *Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
HHBB,HHBB,L,,8,HHBB_L008,HHBB_L008,1,4/20/2022,yes,,1,1,8/26/2022,0.213,1,OLD,Re-Tissuelyser; *Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
HHBB,HHBB,L,,9,HHBB_L009,HHBB_L009,1,4/20/2022,yes,,1,1,1/12/2023,1.4,2,OLD,,1,1,,sample
HHBB,HHBB,L,,9,HHBB_L009,HHBB_L009,1,4/20/2022,yes,,1,1,1/12/2023,1.4,2,OLD,,1,1,,sample
HHBB,HHBB,L,,9,HHBB_L009,HHBB_L009,1,4/20/2022,yes,,1,1,1/12/2023,1.4,2,OLD,,1,1,,sample
HULB,HULB,G,,1,HULB_G001,HULB_G001,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,4.58,4,NEW,,0,0,,sample
HULB,HULB,G,,1,HULB_G001,HULB_G001,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,4.58,4,NEW,,0,0,,sample
HULB,HULB,G,,1,HULB_G001,HULB_G001,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,4.58,4,NEW,,0,0,,sample
HULB,HULB,G,,2,HULB_G002,HULB_G002,1,6/2/2021,yes,"not enough tissue (.06g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,2.8,4,NEW,,0,0,,sample
HULB,HULB,G,,2,HULB_G002,HULB_G002,1,6/2/2021,yes,"not enough tissue (.06g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,2.8,4,NEW,,0,0,,sample
HULB,HULB,G,,2,HULB_G002,HULB_G002,1,6/2/2021,yes,"not enough tissue (.06g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,2.8,4,NEW,,0,0,,sample
HULB,HULB,G,,3,HULB_G003,HULB_G003,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,8.93,4,NEW,,0,0,,sample
HULB,HULB,G,,3,HULB_G003,HULB_G003,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,2,5/31/2023,8.93,4,NEW,,0,0,,sample
HULB,HULB,G,,3,HULB_G003,HULB_G003,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,3,6/1/2023,8.93,4,NEW,,0,0,,sample
HULB,HULB,G,,4,HULB_G004,HULB_G004,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,15.4,4,NEW,,0,0,,sample
HULB,HULB,G,,4,HULB_G004,HULB_G004,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,15.4,4,NEW,,0,0,,sample
HULB,HULB,G,,4,HULB_G004,HULB_G004,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,15.4,4,NEW,,0,0,,sample
HULB,HULB,G,,5,HULB_G005,HULB_G005,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,10.1,4,NEW,,0,0,,sample
HULB,HULB,G,,5,HULB_G005,HULB_G005,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,10.1,4,NEW,,0,0,,sample
HULB,HULB,G,,5,HULB_G005,HULB_G005,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,10.1,4,NEW,,0,0,,sample
HULB,HULB,L,,1,HULB_L001,HULB_L001,1,6/2/2021,yes,"not enough tissue (.15g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,4.15,4,NEW,,0,0,,sample
HULB,HULB,L,,1,HULB_L001,HULB_L001,1,6/2/2021,yes,"not enough tissue (.15g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,4.15,4,NEW,,0,0,,sample
HULB,HULB,L,,1,HULB_L001,HULB_L001,1,6/2/2021,yes,"not enough tissue (.15g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,4.15,4,NEW,,0,0,,sample
HULB,HULB,L,,2,HULB_L002,HULB_L002,1,6/2/2021,yes,,1,1,3/14/2023,7.4,3,OLD,,1,1,,sample
HULB,HULB,L,,2,HULB_L002,HULB_L002,1,6/2/2021,yes,,1,1,3/14/2023,7.4,3,OLD,,1,1,,sample
HULB,HULB,L,,2,HULB_L002,HULB_L002,1,6/2/2021,yes,,1,1,3/14/2023,7.4,3,OLD,,1,1,,sample
HULB,HULB,L,,3,HULB_L003,HULB_L003,1,6/2/2021,yes,"vial holding original sample broke - new lid doesnt fit well. I taped the new lid on and there isnt enough for a second subsample anyway.; 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,10,4,NEW,,0,0,,sample
HULB,HULB,L,,3,HULB_L003,HULB_L003,1,6/2/2021,yes,"vial holding original sample broke - new lid doesnt fit well. I taped the new lid on and there isnt enough for a second subsample anyway.; 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,10,4,NEW,,0,0,,sample
HULB,HULB,L,,3,HULB_L003,HULB_L003,1,6/2/2021,yes,"vial holding original sample broke - new lid doesnt fit well. I taped the new lid on and there isnt enough for a second subsample anyway.; 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,10,4,NEW,,0,0,,sample
HULB,HULB,L,,4,HULB_L004,HULB_L004,1,6/2/2021,yes,"not enough tissue (.04g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,2.66,4,NEW,,0,0,,sample
HULB,HULB,L,,4,HULB_L004,HULB_L004,1,6/2/2021,yes,"not enough tissue (.04g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,2.66,4,NEW,,0,0,,sample
HULB,HULB,L,,4,HULB_L004,HULB_L004,1,6/2/2021,yes,"not enough tissue (.04g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,2.66,4,NEW,,0,0,,sample
HULB,HULB,L,,5,HULB_L005,HULB_L005,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,18.3,4,NEW,,0,0,,sample
HULB,HULB,L,,5,HULB_L005,HULB_L005,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,18.3,4,NEW,,0,0,,sample
HULB,HULB,L,,5,HULB_L005,HULB_L005,1,6/2/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,18.3,4,NEW,,0,0,,sample
HUOB,HUOB,G,,1,HUOB_G001,HUOB_G001,1,5/12/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,31.4,4,NEW,,0,0,,sample
HUOB,HUOB,G,,1,HUOB_G001,HUOB_G001,1,5/12/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,31.4,4,NEW,,0,0,,sample
HUOB,HUOB,G,,1,HUOB_G001,HUOB_G001,1,5/12/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,31.4,4,NEW,,0,0,,sample
HUOB,HUOB,G,,102,HUOB_G102,HUOB_G102,1,5/25/2022,yes,,1,1,5/7/2023,1.07,3,NEW,,0,0,,sample
HUOB,HUOB,G,,102,HUOB_G102,HUOB_G102,1,5/25/2022,yes,,1,1,5/7/2023,1.07,3,NEW,,0,0,,sample
HUOB,HUOB,G,,102,HUOB_G102,HUOB_G102,1,5/25/2022,yes,,1,1,5/7/2023,1.07,3,NEW,,0,0,,sample
HUOB,HUOB,G,,112,HUOB_G112,HUOB_G112,1,5/25/2022,yes,not enough tissue (.28g),1,1,10/8/2022,10.8,,OLD,,1,1,,sample
HUOB,HUOB,G,,112,HUOB_G112,HUOB_G112,1,5/25/2022,yes,not enough tissue (.28g),1,1,10/8/2022,10.8,,OLD,,1,1,,sample
HUOB,HUOB,G,,112,HUOB_G112,HUOB_G112,1,5/25/2022,yes,not enough tissue (.28g),1,1,10/8/2022,10.8,,OLD,,1,1,,sample
HUOB,HUOB,G,,12,HUOB_G012,HUOB_G012,1,5/25/2022,yes,,1,1,9/30/2022,,1,OLD,"Ruined! I added 197 μL of Qubit buffer to DNA. I kept samples in case there is something that can be done. (-BAR, 10/04/2022)",1,1,,sample
HUOB,HUOB,G,,12,HUOB_G012,HUOB_G012,1,5/25/2022,yes,,1,1,9/30/2022,,1,OLD,"Ruined! I added 197 μL of Qubit buffer to DNA. I kept samples in case there is something that can be done. (-BAR, 10/04/2022)",1,1,,sample
HUOB,HUOB,G,,12,HUOB_G012,HUOB_G012,1,5/25/2022,yes,,1,1,9/30/2022,,1,OLD,"Ruined! I added 197 μL of Qubit buffer to DNA. I kept samples in case there is something that can be done. (-BAR, 10/04/2022)",1,1,,sample
HUOB,HUOB,G,,122,HUOB_G122,HUOB_G122,1,5/25/2022,yes,not enough tissue (.28g),1,1,5/12/2023,8.6,3,NEW,,0,0,,sample
HUOB,HUOB,G,,122,HUOB_G122,HUOB_G122,1,5/25/2022,yes,not enough tissue (.28g),1,1,5/12/2023,8.6,3,NEW,,0,0,,sample
HUOB,HUOB,G,,122,HUOB_G122,HUOB_G122,1,5/25/2022,yes,not enough tissue (.28g),1,1,5/12/2023,8.6,3,NEW,,0,0,,sample
HUOB,HUOB,G,,2,HUOB_G002,HUOB_G002,1,5/12/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,12.6,4,NEW,,0,0,,sample
HUOB,HUOB,G,,2,HUOB_G002,HUOB_G002,1,5/12/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,12.6,4,NEW,,0,0,,sample
HUOB,HUOB,G,,2,HUOB_G002,HUOB_G002,1,5/12/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,12.6,4,NEW,,0,0,,sample
HUOB,HUOB,G,,22,HUOB_G022,HUOB_G022,1,5/25/2022,yes,,1,1,10/8/2022,5.55,,OLD,,1,1,,sample
HUOB,HUOB,G,,22,HUOB_G022,HUOB_G022,1,5/25/2022,yes,,1,1,10/8/2022,5.55,,OLD,,1,1,,sample
HUOB,HUOB,G,,22,HUOB_G022,HUOB_G022,1,5/25/2022,yes,,1,1,10/8/2022,5.55,,OLD,,1,1,,sample
HUOB,HUOB,G,,3,HUOB_G003,HUOB_G003,1,5/12/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,9.17,4,NEW,,0,0,,sample
HUOB,HUOB,G,,3,HUOB_G003,HUOB_G003,1,5/12/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,9.17,4,NEW,,0,0,,sample
HUOB,HUOB,G,,3,HUOB_G003,HUOB_G003,1,5/12/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,9.17,4,NEW,,0,0,,sample
HUOB,HUOB,G,,32,HUOB_G032,HUOB_G032,1,5/25/2022,yes,,1,1,5/7/2023,2.68,3,NEW,,0,0,,sample
HUOB,HUOB,G,,32,HUOB_G032,HUOB_G032,1,5/25/2022,yes,,1,1,5/7/2023,2.68,3,NEW,,0,0,,sample
HUOB,HUOB,G,,32,HUOB_G032,HUOB_G032,1,5/25/2022,yes,,1,1,5/7/2023,2.68,3,NEW,,0,0,,sample
HUOB,HUOB,G,,4,HUOB_G004,HUOB_G004,1,5/12/2021,,,1,1,5/31/2023,15.3,4,NEW,,0,0,,sample
HUOB,HUOB,G,,4,HUOB_G004,HUOB_G004,1,5/12/2021,,,1,1,5/31/2023,15.3,4,NEW,,0,0,,sample
HUOB,HUOB,G,,4,HUOB_G004,HUOB_G004,1,5/12/2021,,,1,1,5/31/2023,15.3,4,NEW,,0,0,,sample
HUOB,HUOB,G,,42,HUOB_G042,HUOB_G042,1,5/25/2022,yes,,1,1,5/7/2023,3.39,3,NEW,,0,0,,sample
HUOB,HUOB,G,,42,HUOB_G042,HUOB_G042,1,5/25/2022,yes,,1,1,5/7/2023,3.39,3,NEW,,0,0,,sample
HUOB,HUOB,G,,42,HUOB_G042,HUOB_G042,1,5/25/2022,yes,,1,1,5/7/2023,3.39,3,NEW,,0,0,,sample
HUOB,HUOB,G,,5,HUOB_G005,HUOB_G005,1,5/12/2021,,,1,1,5/30/2023,22.8,4,NEW,,0,0,,sample
HUOB,HUOB,G,,5,HUOB_G005,HUOB_G005,1,5/12/2021,,,1,1,5/30/2023,22.8,4,NEW,,0,0,,sample
HUOB,HUOB,G,,5,HUOB_G005,HUOB_G005,1,5/12/2021,,,1,1,5/30/2023,22.8,4,NEW,,0,0,,sample
HUOB,HUOB,G,,52,HUOB_G052,HUOB_G052,1,5/25/2022,yes,not enough tissue (.15g),1,1,5/15/2023,3.46,4,NEW,,0,0,,sample
HUOB,HUOB,G,,52,HUOB_G052,HUOB_G052,1,5/25/2022,yes,not enough tissue (.15g),1,1,5/15/2023,3.46,4,NEW,,0,0,,sample
HUOB,HUOB,G,,52,HUOB_G052,HUOB_G052,1,5/25/2022,yes,not enough tissue (.15g),1,1,5/15/2023,3.46,4,NEW,,0,0,,sample
HUOB,HUOB,G,,62,HUOB_G062,HUOB_G062,1,5/25/2022,yes,,1,1,11/5/2022,4.81,1,OLD,,1,1,,sample
HUOB,HUOB,G,,62,HUOB_G062,HUOB_G062,1,5/25/2022,yes,,1,1,11/6/2022,4.81,1,OLD,,1,1,,sample
HUOB,HUOB,G,,62,HUOB_G062,HUOB_G062,1,5/25/2022,yes,,1,1,11/7/2022,4.81,1,OLD,,1,1,,sample
HUOB,HUOB,G,,72,HUOB_G072,HUOB_G072,1,5/25/2022,yes,,1,1,3/14/2023,0.76,3,OLD,,0,0,,sample
HUOB,HUOB,G,,72,HUOB_G072,HUOB_G072,1,5/25/2022,yes,,1,1,3/14/2023,0.76,3,OLD,,0,0,,sample
HUOB,HUOB,G,,72,HUOB_G072,HUOB_G072,1,5/25/2022,yes,,1,1,3/14/2023,0.76,3,OLD,,0,0,,sample
HUOB,HUOB,G,,82,HUOB_G082,HUOB_G082,1,5/25/2022,yes,,1,1,2/4/2023,3.14,2,OLD,,1,1,,sample
HUOB,HUOB,G,,82,HUOB_G082,HUOB_G082,1,5/25/2022,yes,,1,1,2/4/2023,3.14,2,OLD,,1,1,,sample
HUOB,HUOB,G,,82,HUOB_G082,HUOB_G082,1,5/25/2022,yes,,1,1,2/4/2023,3.14,2,OLD,,1,1,,sample
HUOB,HUOB,G,,92,HUOB_G092,HUOB_G092,1,5/25/2022,yes,,1,1,9/30/2022,10.7,1,OLD,,1,1,,sample
HUOB,HUOB,G,,92,HUOB_G092,HUOB_G092,1,5/25/2022,yes,,1,1,9/30/2022,10.7,1,OLD,,1,1,,sample
HUOB,HUOB,G,,92,HUOB_G092,HUOB_G092,1,5/25/2022,yes,,1,1,9/30/2022,10.7,1,OLD,,1,1,,sample
HUOB,HUOB,N,,1,HUOB_N001,HUOB_N001,1,5/12/2021,yes,,1,1,2/4/2023,3.32,3,OLD,says (2021) on quantification sheet,1,1,,sample
HUOB,HUOB,N,,1,HUOB_N001,HUOB_N001,1,5/12/2021,yes,,1,1,2/4/2023,3.32,3,OLD,,1,1,,sample
HUOB,HUOB,N,,1,HUOB_N001,HUOB_N001,1,5/12/2021,yes,,1,1,2/4/2023,3.32,3,OLD,,1,1,,sample
HUOB,HUOB,N,,2,HUOB_N002,HUOB_N002,1,5/12/2021,yes,,1,1,5/7/2023,12.3,3,NEW,,0,0,,sample
HUOB,HUOB,N,,2,HUOB_N002,HUOB_N002,1,5/12/2021,yes,,1,1,5/7/2023,12.3,3,NEW,,0,0,,sample
HUOB,HUOB,N,,2,HUOB_N002,HUOB_N002,1,5/12/2021,yes,,1,1,5/7/2023,12.3,3,NEW,,0,0,,sample
HUOB,HUOB,N,,3,HUOB_N003,HUOB_N003,1,5/12/2021,yes,,1,1,1/19/2023,0.653,2,OLD,,1,1,,sample
HUOB,HUOB,N,,3,HUOB_N003,HUOB_N003,1,5/12/2021,yes,,1,1,1/19/2023,0.653,2,OLD,,1,1,,sample
HUOB,HUOB,N,,3,HUOB_N003,HUOB_N003,1,5/12/2021,yes,,1,1,1/19/2023,0.653,2,OLD,,1,1,,sample
HUOB,HUOB,N,,4,HUOB_N004,HUOB_N004,1,5/12/2021,yes,,1,1,5/7/2023,5.05,3,NEW,,0,0,,sample
HUOB,HUOB,N,,4,HUOB_N004,HUOB_N004,1,5/12/2021,yes,,1,1,5/7/2023,5.05,3,NEW,,0,0,,sample
HUOB,HUOB,N,,4,HUOB_N004,HUOB_N004,1,5/12/2021,yes,,1,1,5/7/2023,5.05,3,NEW,,0,0,,sample
HUOB,HUOB,N,,5,HUOB_N005,HUOB_N005,1,5/12/2021,yes,,1,1,2/4/2023,3.95,2,OLD,says 2021 in quantification sheet,1,1,,sample
